country,date,Population,GDP per capita,GNI per capita
France,1972,52793138.0,,
France,1971,52371342.0,,
France,1970,51957738.0,,
France,1969,51561836.0,,
France,1968,51175508.0,,
France,1967,50775794.0,,
France,1966,50330262.0,,
France,1965,49818028.0,,
France,1964,49230595.0,,
France,1963,48582611.0,,
France,1962,47904877.0,,
France,1961,47240543.0,,
France,1960,46621669.0,,
United Kingdom,2019,,,
United Kingdom,2018,66488991.0,45973.5735044198,45350.0
United Kingdom,2017,66058859.0,45378.9977418279,44840.0
United Kingdom,2016,65595565.0,43543.5878330358,42500.0
United Kingdom,2015,65128861.0,42509.8881664337,41540.0
United Kingdom,2014,64613160.0,41259.0009441734,40420.0
United Kingdom,2013,64128226.0,39971.0253628526,39160.0
United Kingdom,2012,63700300.0,38311.8460772243,37910.0
United Kingdom,2011,63258918.0,37161.4906866096,37310.0
United Kingdom,2010,62766365.0,36340.7338744538,36370.0
United Kingdom,2009,62276270.0,35003.497418398,34740.0
United Kingdom,2008,61806995.0,36660.1925635403,36320.0
United Kingdom,2007,61322463.0,35600.0077931191,35430.0
United Kingdom,2006,60846820.0,34767.0011352627,34800.0
United Kingdom,2005,60401206.0,32668.2263161355,33110.0
United Kingdom,2004,59987905.0,31964.5959660616,32300.0
United Kingdom,2003,59647577.0,30261.5776899297,30650.0
United Kingdom,2002,59370479.0,29068.5938574601,29440.0
United Kingdom,2001,59119673.0,27756.812632113,27960.0
United Kingdom,2000,58892514.0,26407.209920783,26510.0
United Kingdom,1999,58682466.0,24414.6853180808,24330.0
United Kingdom,1998,58487141.0,23637.002818098,23740.0
United Kingdom,1997,58316954.0,23039.9477994598,22660.0
United Kingdom,1996,58166950.0,21851.8482323716,21170.0
United Kingdom,1995,58019030.0,20522.3137537802,19920.0
United Kingdom,1994,57865745.0,19312.176903805,20280.0
United Kingdom,1993,57718614.0,18248.570164266,18850.0
United Kingdom,1992,57580402.0,17428.6011592458,18020.0
United Kingdom,1991,57424897.0,17022.7423409092,17390.0
United Kingdom,1990,57247586.0,16698.341764666,17020.0
United Kingdom,1989,57076711.0,,
United Kingdom,1988,56928327.0,,
United Kingdom,1987,56802050.0,,
United Kingdom,1986,56681396.0,,
United Kingdom,1985,56550268.0,,
United Kingdom,1984,56422072.0,,
United Kingdom,1983,56332848.0,,
United Kingdom,1982,56313641.0,,
United Kingdom,1981,56333829.0,,
United Kingdom,1980,56314216.0,,
United Kingdom,1979,56246951.0,,
United Kingdom,1978,56196504.0,,
United Kingdom,1977,56193492.0,,
United Kingdom,1976,56211968.0,,
United Kingdom,1975,56225800.0,,
United Kingdom,1974,56229974.0,,
United Kingdom,1973,56194527.0,,
United Kingdom,1972,56086065.0,,
United Kingdom,1971,55896223.0,,
United Kingdom,1970,55663250.0,,
United Kingdom,1969,55441750.0,,
United Kingdom,1968,55211700.0,,
United Kingdom,1967,54943600.0,,
United Kingdom,1966,54648500.0,,
United Kingdom,1965,54348050.0,,
United Kingdom,1964,54000000.0,,
United Kingdom,1963,53650000.0,,
United Kingdom,1962,53250000.0,,
United Kingdom,1961,52800000.0,,
United Kingdom,1960,52400000.0,,
Italy,2019,,,
Italy,2018,60431283.0,41830.4263276444,42290.0
Italy,2017,60536709.0,41200.0287210871,41430.0
Italy,2016,60627498.0,39178.3999979522,39290.0
Italy,2015,60730582.0,36909.3283742734,36650.0
Italy,2014,60789140.0,36194.873918843,36200.0
Italy,2013,60233948.0,36314.6971007775,36250.0
Italy,2012,59539717.0,36486.2967870302,36440.0
Italy,2011,59379449.0,36598.0149693024,36510.0
Italy,2010,59277417.0,35155.6680557794,35080.0
Italy,2009,59095365.0,34610.0314472579,34590.0
Italy,2008,58826731.0,35523.2713104342,35200.0
Italy,2007,58438310.0,34108.2042928282,34130.0
Italy,2006,58143979.0,32419.9361477515,32550.0
Italy,2005,57969484.0,30130.6444569128,30180.0
Italy,2004,57685327.0,29527.7909380513,29480.0
Italy,2003,57313203.0,29164.5952658333,29020.0
Italy,2002,57059007.0,28736.5771073504,28610.0
Italy,2001,56974100.0,28045.448432517,27960.0
Italy,2000,56942108.0,27076.1867962252,26970.0
Italy,1999,56916317.0,25602.3894720393,25550.0
Italy,1998,56906744.0,25020.6586237194,24880.0
Italy,1997,56890372.0,23873.3449198404,23760.0
Italy,1996,56860281.0,23029.5000345826,22810.0
Italy,1995,56844303.0,22359.9827460467,22090.0
Italy,1994,56843400.0,21286.6023640162,20960.0
Italy,1993,56831821.0,20406.8418014149,20120.0
Italy,1992,56797087.0,20118.295650509,19790.0
Italy,1991,56758521.0,19520.557906595,19240.0
Italy,1990,56719240.0,18608.7882670475,18380.0
Italy,1989,56671781.0,,
Italy,1988,56629288.0,,
Italy,1987,56601931.0,,
Italy,1986,56596155.0,,
Italy,1985,56593071.0,,
Italy,1984,56576718.0,,
Italy,1983,56564074.0,,
Italy,1982,56543548.0,,
Italy,1981,56501675.0,,
Italy,1980,56433883.0,,
Italy,1979,56317749.0,,
Italy,1978,56155143.0,,
Italy,1977,55955411.0,,
Italy,1976,55718260.0,,
Italy,1975,55441001.0,,
Italy,1974,55110868.0,,
Italy,1973,54751406.0,,
Italy,1972,54381345.0,,
Italy,1971,54073490.0,,
Italy,1970,53821850.0,,
Italy,1969,53537950.0,,
Italy,1968,53235750.0,,
Italy,1967,52900500.0,,
Italy,1966,52519000.0,,
Italy,1965,52112350.0,,
Italy,1964,51675350.0,,
Italy,1963,51252000.0,,
Italy,1962,50879450.0,,
Italy,1961,50536350.0,,
Italy,1960,50199700.0,,
